工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模
视频编辑实习生,150-200元/天,长期,工作职责：1、拍摄素材，并负责素材粗剪；2、简单视频包装、加少量音效、特效；岗位要求：1、靠谱、有责任感、细心、认真2、熟练掌握FinalCut/Premiere/AE等剪辑软件中任意一个3、会摄影摄像，有平面设计基础的优先。,本科,1人,2024-09-18 11:25,四海一家,北京 - 西城区 - 天桥南大街1号天桥艺术大厦B座5层,广告|传媒|文化|体育,11~50人
演出制作实习生,150-200元/天,长期,工作职责：1、演出项目报批资料整理；2、巡演项目协助项目经理与各地剧院联络；3、在演出阶段协助拆装台及演出现场的各项落地工作。岗位要求：1、能熟练使用Word、Excel、PPT等办公软件；2、熟悉并热爱演出行业；3、工作严谨认真，吃苦耐劳，能适应偶尔的高强度熬夜加班；4、有英文、法语书面及口头沟通能力有加分你将获得：音乐剧 国企 演出免费看 不定期亲友赠票 办公环境氛围好,本科,5人,2024-09-18 11:25,四海一家,北京 - 西城区 - 天桥南大街1号天桥艺术大厦B座5层,广告|传媒|文化|体育,11~50人
人力资源实习生,120-150元/天,3个月,工作职责：1. 协助人力资源部门进行日常管理工作，如员工招聘、培训、考核等；2. 参与制定和完善公司的人力资源管理制度，为公司的战略发展提供人力支持；3. 协助完成员工的入职、离职、转正、晋升等手续办理；4. 协助组织培训活动，提高员工的工作积极性和团队凝聚力；5. 完成上级领导交办的其他工作。岗位要求：1. 本科及以上学历，人力资源管理、企业管理等相关专业优先考虑；2. 具有较强的沟通协调能力和团队协作精神；3. 工作细致认真，具备良好的学习和解决问题的能力；4. 熟练使用办公软件，如Word、Excel、PowerPoint等；5. 有意愿从事人力资源管理工作，具备一定的抗压能力；6. 实习时间至少3个月，每周工作3-5天，base上海。,本科,2人,2024-09-18 09:16,复星财务公司,上海 - 黄浦区 - 上海BFC外滩金融中心S1栋,金融,51~100人
Recruitment Assistan...,100-150元/天,4个月,工作职责：1、维护客户，收集和更新来自不同渠道的潜在客户的信息2、包括宣传挖掘新资源、引流，数据收集及回访3、协助招生主管把控校区招生各关键节点4、回访意向客户，了解客户需要，解决客户问题，及时跟进5、策划和优化校区活动，增加校区影响力，转化更多客户报名岗位要求：1、对教育行业感兴趣2、英语流利，良好的听说读写能力3、良好的沟通技巧与市场营销意识4、有责任心，有较强的团队协作意识实习地点在：苏州园区，不接受线上实习，九月初到岗,本科,1人,2024-09-25 10:09,SK商学院,苏州 - 吴中区 - 园区仁爱路99号,教育培训,11~50人
票务运营实习生,120-150元/天,6个月,工作职责：1、负责秀动平台票务日常运营对接工作；2、负责秀动后台票务售后支持；3、负责合同的拟定及对接；4、完成领导完成的其他运营相关工作。此岗位是客服岗岗位要求：1、2025/2026届长期实习6个月或以上，保证一周3-5天工作日；2、有责任心，细致3、热爱音乐行业4、善于沟通,大专,1人,2024-09-23 10:36,北京太合音乐集团,北京 - 朝阳区 - 莱锦文化产业园CN07,广告|传媒|文化|体育,301~1000人
法务实习生,120-150元/天,6个月,工作职责：1.法务合同的日常借阅管理；2.法务合同的扫描及归档；3.负责初审合同；4.完成上级交给的其他工作。岗位要求：1.专科及以上学历在校生，2025年毕业生优先，可连续实习6个月以上最佳；2.熟练使用office等办公软件；3.开朗、诚实、认真、责任心强，乐于接受挑战，能够承受较强的工作压力；4.学习能力强，接受新事物快，擅长沟通和协作。,大专,1人,2024-09-23 10:36,北京太合音乐集团,北京 - 朝阳区 - 莱锦文化产业园CN07,广告|传媒|文化|体育,301~1000人
兼职 新能源汽车行业,2-4K/月,长期,工作职责：（线上兼职，非实习岗，考核通过可长期合作）发布推广新能源汽车相关的产品，知识分享，问答互动跟踪新能源汽车行业动态，收集资料及时反馈无需销售，收集资料就可岗位要求：热爱新能源行业，会使用小红书咸鱼等软件有新能源汽车产品使用经验，能够为用户提供专业的产品咨询（没有经验有较强的学习能力也可，需要自己主动学习你将获得：具有竞争力的薪酬回报宽松的工作氛围和广阔的职业发展空间行业资深人士的伴随指导多家知名车厂的就业内推资格行业内市场最低的车辆购入渠道，先人一步得到自己的梦想汽车,大专,10人,2024-10-03 15:38,bigo,全国,互联网|游戏|软件,1001~3000人
线上销售,8-12K/月,长期,工作职责：1、负责维护各个线上渠道的房源，保证信息准确、真实；2、负责客户的接待、咨询工作，为客户提供专业的房地产置业咨询服务；3、了解客户需求，提供合适房源；4、负责商务谈判、合同签署以及房屋过户手续办理等服务工作；5、负责公司房源的开发、维护与积累，并与业主建立良好的业务协作关系。岗位要求：1、统招本科及以上学历；2、形象气质佳；3、喜欢团队协作的氛围、抗压能力好；4、具备良好的沟通表达和学习能力。你将获得：1、理论培训：入职前将接受专业的房产经纪理论知识；2、衔接培训：帮助新人从理论过渡到实践，链家新人三个月将内接受三次不同程度的衔接训。3、实战演练：师徒制，师傅将带你近距离接触业务实战。4、经验分享：链家优秀员工与你共同分享经验，让你借鉴别人的成功秘诀。5、工作氛围：链家房产将是您校园生活的延续，因为这里,本科,10人,2024-09-28 09:43,链家地产,北京 - 朝阳区 - 望京,建筑|地产|家居,3001人及以上
活动执行实习生,140-150元/天,3个月,工作职责：工作职责：1、听取客户需求，形成工作单，能完整清晰的阐述工作内容；2、根据客户需求和项目要求，与各部门进行有效顺畅的沟通；3、协助客户经理完成项目的落地及现场执行，参与市场行业活动的线上和线下筹备执行；4、有效完成项目进程中相关协议、合同、回款资料等文件的整理工作；5、协助部门领导完成项目相关工作，文档/合同扫描，整理；6、完成客户经理交办的其他工作；岗位要求：任职资格：本实习职位在上海1、大专及以上学历，广告传媒、营销及相关专业优先；应届毕业生优先2、热爱广告、活动行业、对奢侈品有兴趣爱好者优先。3、具备良好的执行力、沟通能力及服务意识、高度的责任心及团队精神；4、熟悉常规办公软件，要求工作细致严谨，同时具备多线程工作能力，注重时间规划；5、具备一定的抗压能力；6、工作细致严谨，不浮躁、不懈怠、具备一定的应对突发状况随机应变的能力7、五官端正，有良好的英语听说写能力你将获得：1. 行业高端品牌的实习经历。2. 业内大牛的详细指导。3. 定期的项目分享会和业务培训。4. 基于工作内容的自身成长。,大专,1人,2024-09-29 09:51,尚度咨询,上海 - 徐汇区 - 上海市徐汇区漕河泾街道南宁路970号徐汇万科中心B座2011室,政府/非盈利机构/其他,11~50人
3D 设计实习生,150-210元/天,3个月,工作职责：「你即将承担」1. 负责全球最大在线编程平台 LeetCode 的 2025 3D 勋章设计，确保设计符合品牌调性，为用户传递品牌价值2. 探索用户需求，持续优化产品使用体验，打造极致的极客产品，参与产品设计到上线的完整迭代流程3. 与产品、开发、运营团队等多方团队对接，确保项目顺利实施岗位要求：「希望你是」本科及以上学历在校生，设计、计算机等相关专业优先线下实习，每周至少到岗 4 天，可持续实习至少 3 - 6 个月熟练使用 Blender 和 Figma 等设计工具，有 3D 建模和产品设计经验有创意、美学 sense，具备独立思考能力，良好的沟通能力和团队合作精神「期待你的更多亮点」了解并使用过力扣对科技、Develop 有经验或兴趣有 Web / App 产品界面设计经验Tips：投递时需要提供完整作品集你将获得：1. 充实的项目经验和实习机会，支持职业发展2. 友好的团队氛围和灵活的工作时间3. 指导与反馈，帮助你提升设计技能,本科,1人,2024-09-29 16:32,力扣 LeetCode,上海 - 普陀区 - 常德路1436号德诚商务楼3楼302,互联网|游戏|软件,51~100人
银行风控专员,150-300元/天,6个月,工作职责：【民生银行控股子公司、朝九晚六、周末双休】1.协助银行、消费金融等机构处理逾期账款的收回，降低欠款客户的信用风险；2.专业、规范地通过电话提醒、信函通知等方式，提醒欠款客户及时处理逾期款项；3.协助金融机构核实客户的准确信息，调查、评估客户的还款能力；4.协助金融机构为欠款客户办理救助业务。岗位要求：1.大专及以上学历；2.2024年应届生； 3.熟练掌握计算机基础知识，包括office应用，word、excel等办公软件； 4.无不良征信及犯罪记录；5.具有较强的团队意识、沟通表达能力和承压能力；有银行、司法背景者优先。你将获得：作息时间：9:00-17:30，午休1.5小时，双休薪资福利： 1.正式录用将与鸿泰鼎石资产管理有限责任公司签订实习协议； 2.底薪3200+高额提成+产能贡献奖+年终合规产能奖，月薪过万不是梦！； 3.入职满2个月可以开具实习证明（不签署三方协议）; 4.根据公司规定，可享受带薪事、病假及国家法定的带薪年休假等多项公司福利； 5.多样化的福利待遇，比如团建活动、拓展活动、生日会、年度体检等； 6.公司提供带薪培训及专业知识培训；全国交流学习机会，每年人才库选拔机会。,大专,5人,2024-09-26 15:25,鸿泰鼎石,武汉 - 武昌区 - 平安金融科技大厦6楼（楚河汉街地铁口）,互联网|游戏|软件,101~300人
英语实习生-产品拓展相关,150-151元/天,3个月,工作职责：工作内容：1. 负责调研、筛选海外公司信息；2. 负责调研海外展会信息；3. 文档格式调整与处理、信息整合；4. 少量英语翻译工作。岗位要求：任职要求：1.本科/研究生在读（大三或以上，研一或以上），英语口译或笔译专业优先；2.英语听说读写能力强，高效率完成文档翻译以及会议记录翻译者优先；3.具有良好的人际沟通能力及执行能力，自我驱动力强；4.细心，做事踏实认真;5.每周至少四天实习，最短实习三个月，可尽快到岗者优先。实习薪资：150/天工作地：线下成都,本科,1人,2024-09-26 08:59,虹科电子,成都 - 高新区 - 高新区吉瑞二路188号高新创合中心A1座8楼805-0,IT|通信|电子,51~100人
HR实习生,150-151元/天,3个月,工作职责：1.协助所在方向的招聘工作；2.根据公司招聘需求情况，通过各种渠道搜寻、甄别合适的候选人；3.负责简历筛选、安排面试、人员录用、员工入职等相关事宜；4.收集市场信息，协助制定招聘计划，开发招聘渠道。5.根据个人兴趣以及团队分工，有机会接触上手绩效、薪酬、员工关系等板块工作~划重点：工作有趣，定制化带教体系，个人发展保障，成长机会多多，待遇好！不加班！岗位要求：1.每周可出勤5天的优先考虑；2.任职资格：本硕在读学生，可至少连续实习3个月。具有良好的沟通交流、团队协作能力。工作地点：江苏省/苏州市/姑苏区 广州虹科电子科技有限公司苏州分公司,本科,1人,2024-09-26 08:58,虹科电子,苏州 - 吴中区 - 江苏省/苏州市/姑苏区 广州虹科电子科技有限公司苏州分公司,IT|通信|电子,51~100人
人力资源实习生,100-200元/天,3个月,工作职责：岗位职责：1、负责部分岗位的简历筛选、面试邀约、相关数据统计等招聘各环节工作；2、领导安排的其他事宜提示：可接受远程实习。岗位要求：任职要求：1、武汉高校在读学生，人力资源管理等相关专业；2、品学兼优，综合素质良好，有过学生会、社团干部任职经历者优先；3、熟练掌握 office办公软件；4、主管能动性强，工作细致、严谨，有责任心，善于沟通，善于总结，学习能力强；5、每周至少保证实习3天及以上，可长时间实习者优先。你将获得：1、舒适的办公环境，超级nice的leader，优秀的团队文化；2、可观的实习补贴，参与各种福利活动，互联网省属国企的实习证明；3、定期团建；4、有园区班车，交通便利；5、职业推荐机会。,本科,1人,2024-09-14 11:36,省楚天云,线上,IT|通信|电子,101~300人
远程PTA实习生,140-150元/天,3个月,工作职责：1. 参与行业访谈并记录访谈信息，及时与团队进行沟通2. 参与项目团队日常会议，积极有效的分享所掌握的事实并进行信息归纳总结，为项目终建议贡献想法岗位要求：1. 国内外知名高校大二及以上本科生和研一及以上研究生，专业不限2. 对管理咨询行业感兴趣，热爱并有志向进入咨询行业工作，有过咨询相关经验优先3. 自信的、主动的、有前瞻性的思考者，有一定抗压能力4. 优秀的中英文沟通能力和书写能力5. 综合的电脑操作能力（包括但不限于资料检索、office 应用等）6. 有充裕时间，每周出勤完整 3-5 天，至少连续实习 3 个月 ，尽快到岗你将获得：1. 150 元/天实习费2.表现出色的同学可提供 Summer intern 实习推荐3.表现优异可获公司内部推荐，具有转正机会,本科,10人,2024-09-24 17:35,久谦咨询,成都 - 锦江区 - IFS一号楼,咨询/法律/人力资源,301~1000人
内容产品测试实习生,150-160元/天,3个月,工作职责：工作地点：成都春熙路岗位职责：1. 根据内容产品开发、迭代周期进行测试，包括但不限于内容测试、功能测试及模型训练标注等（编程非必须技能）2. 记录测试文档，清晰描述Bug，按照分类方法对Bug进行分类、整理及归纳3. 站在用户视角发现产品功能缺陷，持续迭代优化产品4. Leader交代的其它工作岗位要求：岗位要求：1. 国内外知名高校大二及以上本科生和研一及以上研究生，专业不限2. 善于发现问题，理解和适应变化3. 具备较强逻辑思维能力，分析、处理及定位问题能力，及一定抗压能力4. 综合的电脑操作能力（包括但不限于office操作能力、数据统计能力、信息检索能力等）5. 可尽快到岗，周一至周五，每周出勤4天及以上，至少连续实习3个月,本科,2人,2024-09-24 17:35,久谦咨询,成都 - 锦江区 - 成都市锦江区红星路3段1号IFS一号楼35楼3501,咨询/法律/人力资源,301~1000人
RA咨询日常实习生,140-150元/天,3个月,工作职责：【岗位职责】方向一：1. 及时完成并提交项目文稿，积极保持与团队工作沟通2. 能够通过桌面研究搜集行业信息，修改行业访谈文稿/内容产品，提升内容准确度3. Mentor交代的其它工作方向二：1.协助Mentor对公司咨询内容产品进行优化迭代2.能够通过桌面研究搜集行业信息，发现产品内容漏洞，提升内容准确度3. Mentor交代的其它工作岗位要求：1.国内外高校大二及以上本科生和研一及以上研究生，专业不限2.对管理咨询行业感兴趣，热爱并有志向进入咨询行业工作，有过咨询相关经验优先3. 自信的、主动的、有前瞻性的思考者，有一定抗压能力4. 具备基本的中英文听说读写能力优先5. 具备综合的电脑操作能力（包括但不限于资料检索、office 应用等）6. 可尽快到岗，每周出勤 4-5 天，至少连续实习 3 个月你将获得：1. 150 元/天实习费2.表现优异可获公司内部推荐,本科,10人,2024-09-24 17:35,久谦咨询,成都 - 锦江区 - IFS一号楼,咨询/法律/人力资源,301~1000人
信息流广告投放实习生（25届）,140-160元/天,3个月,工作职责：上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！现需要招聘信息流广告投放实习生，为此，我们声明如下！☆ 弹性打卡，节假日前错峰上下班，享受假期☆ 仪式满满的节日活动，感受节日氛围☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分☆ 美味下午茶，减肥是不可能的了「你将会负责」1、根据公司项目的推广需求来撰写产品文案、制作抖音视频/图片；2、完成上级交办的其他任务。岗位要求：「我们希望你」1、大三大四在读学生，一周需到岗4天以上，至少实习3个月以上，抖音平台重度用户优先；2、能够独立剪辑视频，熟练剪映等软件优先；3、具备一定的文字功底、图片设计技巧、营销思维，有良好的沟通协调能力和团队协作精神；4、积极主动，责任心强，适应互联网公司文化。,大专,1人,2024-09-18 11:49,凡科,广州 - 海珠区 - 广州市 海珠区 凤凰创意园,互联网|游戏|软件,301~1000人
投资并购内容研究实习生,180-200元/天,3个月,工作职责：1 运用专业知识、工具，协助潜在全球投资并购的交易信息挖掘、收集及筛选2 熟练掌握并购相关英语专业词汇并进行快速英语阅读，从海外消息源中进行有效精简的要点归纳及总结3 具备一定的翻译能力，将总结后的原文进行翻译、复查及上传4 协助执行&管理公司信息平台（微信群、微博、知乎等）的内容发布与维护岗位要求：1 本科及以上学历，金融、经济背景，英语优良者优先2 有跨境并购、新闻报刊杂志相关工作经验，具备相关专业知识技能者优先3 能熟练使用Excel等办公软件4 具备强烈进取心与高度的工作热情；良好的团队合作精神及高度的责任心,本科,1人,2024-09-18 11:31,上海易界云软件有限公司,上海 - 静安区 - 南京西路梅陇镇广场3002,金融,11~50人
投行分析师实习生,180-200元/天,3个月,工作职责：1.收集和综合有关公司、行业和政府的财务和运营信息  2.协助撰写并购及投融资项目相关的公司和行业调查报告，翻译和撰写项目相关文件，创建和更新财务模型    3.收集市场数据，分析行业趋势和协助交易评估   4.参与执行并购及投融资项目执行，参加团队讨论和客户会议，会议纪要及进行部分文稿演示，建立并保持与中介机构、合作伙伴、主管部门和潜在合作伙伴的良好业务关系。岗位要求：1.经济/会计/金融/法律等相关专业背景本科及以上学历      2.具有投行、PE/VC、咨询公司等相关行业工作经验，对市场和行业发展趋势保持高度敏感，拥有良好的交易嗅觉和丰富的想象力      3.了解估值方法和应用，具有良好的财务和计算机技能及执行能力     4.较强的分析能力，优秀的口头和书面沟通能力及团队协作能力，能熟练使用英文进行口头和书面表达       5.高度的敬业精神及良好的抗压能力，可以保证每周至少四天，实习3个月以上。,本科,2人,2024-09-18 11:31,上海易界云软件有限公司,上海 - 静安区 - 南京西路1038号梅陇镇广场3002室,金融,11~50人
产业地产投资咨询实习生,100-150元/天,6个月,工作职责：1、参与专业的产业地产选址顾问服务，包括地块信息收集、产业项目招商政策整理、业务资料维护、数据分析等；2、协助项目经理把控项目节点，同时协调技术及辅助项目管理；3、参与业务线座谈、市场活动并协助完成会议纪要等；4、根据客户及公司需求协助各类后勤类支持工作，如行政、人事、财务、国际业务的联络等；5、其他领导交办的工作任务；岗位要求：1、本科学历及以上，全球前100位高校生优先；2、形象气质佳，品德优良，有强烈的进取心和卓越的学习力，兼具较强的韧性和心理素质；3、具备基本的分析能力、逻辑思维清晰严谨，具备独立思考能力、良好的沟通能力及责任心；4、熟练运用MS office软件；,本科,2人,2024-09-24 09:21,承沣行,佛山 - 南海区 - 桂城街道疏港路7号凤鸣广场9座16层上海 - 闵行区 - 上海办公点将结合候选人个人意愿及公司业务需要进行安排郑州 - 金水区 - 玉凤路226号,金融,11~50人
市场部实习生,140-150元/天,3个月,工作职责：1、策划、统筹执行集团市场活动项目；2、大型线上线下活动创意输出，并形成执行落地方案；3、集团各大部门之间沟通协调工作，处理各部门需求；4、集团物料管理，其中包括集团物料制作、成本把控、入库、出库等；5、供应商协调管理，包括活动供应商、创意供应商、物料供应商等；（莫慌~以上工作内容均有Mentor带教）岗位要求：1、性格活动开朗，喜欢沟通和交流；（希望你是一个好奇宝宝）2、想法大胆，有过创意输出和活动执行经验；（畅所欲言）3、有较强的逻辑思考能力，快速生成书面化想法；（你要有系统化思维）4、熟悉办公室软件的操作，如Excel、PPT、Word；5、注重个人形象管理，有良好的生活习惯；（希望你精力充沛哦，团队的小太阳）6、需要实习至2024年6月底，一周三天及以上你将获得：我们为您提供：1. 员工食堂、公司班车、免费健身房；2. 完善的带教，良好的工作环境和团队氛围；,本科,1人,2024-09-13 10:31,宝尊电商,上海 - 静安区 - 江场西路510号市北·数智大厦,互联网|游戏|软件,3001人及以上
法务部实习生,120-150元/天,3个月,工作职责：1. 支持各类法务文件的流程管理，根据要求摘录翻译合同关键信息，并上传亚太法务系统；2. 公司各类印章管理； 3. 根据根据法律顾问的要求，进行法律检索与法律研究； 4. 根据法律顾问的要求，协助准备工商设立变更文件。岗位要求：1. 法律相关专业大学本科以上在读（男生女生均可），通过司法考试优先考虑； 2. 熟练掌握0FFICE Word、Excel和 PowerPoint的使用，良好的书面英语能力； 3. 强烈的责任感，做事细心耐心，较强的学习能力与自我激励； 4 实习期3-6个月以上，每周至少三天，近期可入职，且保证在此期间为在读状态； 5. 性格开朗，善于沟通，具备良好的沟通协调和团队合作能力。,本科,1人,2024-09-12 15:42,费森尤斯医疗,上海 - 徐汇区 - 港汇中心2座,生物|医药,1001~3000人
Android开发实习生,150-200元/天,4个月,工作职责：岗位职责：负责雨燕投屏Android应用的开发工作，包含手机端和电视端。岗位要求：任职要求 1. 学习能力强，能够在短时间内熟悉产品的框架结构；2. 了解Java，掌握网络、多媒体编解码等相关领域的知识；3. 了解Android开发知识，能够进行UI 布局调整，外部SDK集成测试等工作；4. 有投屏开发经验、网络通讯开发经验、音视频编解码经验的优先考虑；5. 该实习岗位不考虑应届毕业生，25届/26届同学可以投递；6. 有至少四个月实习承诺期；你将获得：弹性办公： 工作日上午9-10点打卡上班都ok，下班时间根据你上班时间而定，满8个小时就可以，也就是17-18点下班。周末双休。舒适的办公环境：咖啡+茶+周三水果日+生日会团建活动：不定时工会组织电影院观影活动实习薪资：200元/天,本科,1人,2024-09-27 15:21,尼禄软件,杭州 - 西湖区 - 文三路535号莱茵达大厦11楼,互联网|游戏|软件,11~50人
内容运营实习生,150-200元/天,3个月,工作职责：岗位职责：1、负责行业相关热点新闻和信息采编工作，有效完成专题策划，包括公众号、微博、小红书等内容撰写/排版， 活动等相关文案撰写，主要是小红书平台；                                                                               2、协助市场投放，负责kol/koc内容跟进及效果复盘。岗位要求：1、本科及以上学历，新闻、传媒、中文、生物等专业优先；有新媒体运营、小红书运营相关经验优先；2、具有良好的沟通和语言表达能力，较强的文字编辑能力；3、网感好，热爱吃瓜的冲浪达人4、每周至少实习3天，最好是5天，能够实习时间3个月以上你将获得：运营技能的提升良好的实习氛围可发挥空间大不卷文化,本科,1人,2024-09-20 17:35,微基因,深圳 - 福田区 - 车公庙创新科技广场I期A座1002,互联网|游戏|软件,51~100人
投资研究（实习）,100-150元/天,6个月,工作职责：1. 及时搜集云计算、大数据、人工智能、智能制造、新能源、新材料等行业和资本市场动向及相关资讯，分析和推荐投资机会；2. 针对标的公司，分析行业动态、技术趋势，协助项目调研，拟定初步研究报告；3. 协助标的公司的尽职调查和谈判等；4. 完成上级领导交办的其他工作。岗位要求：1. 2025-2026年硕士毕业生优先；2. 有智能制造 / 新材料 / 新能源 / 计算机等与金融的复合背景，有行业研究与公司研究的经验；3. 热爱投资，适应行业的工作强度。,本科,3人,2024-09-12 15:00,用友产业投资,上海 - 黄浦区 - 江阴大厦22层,金融,10人以内
用户运营岗,100-150元/天,3个月,工作职责：1、针对互联网基金客户，协助策划各类营销活动；2、协助撰写投资教育等文案，做好基金客户陪伴；3、协助跟进活动执行情况，协调各团队同事，确保活动顺利实施；4、协助进行数据分析，评估运营效果，持续改进活动方案。岗位要求：1、国内外院校在读研究生，中文、新闻、金融、经济、等相关专业，优秀本科生亦可；2、熟练使用Office办公软件，Excel、PPT能力佳；3、文字撰写能力较强者优先考虑；4、认真细心、有强烈责任感，沟通和表达能力较强，主动学习意愿强烈；5、能够到现场办公，尽快到岗，每周保证至少3天及以上出勤，实习期不短于3个月。6、本岗位无留用机会，可开具实习证明，优先考虑非应届毕业生。你将获得：1、积累公募基金的实习经历，建立对公募基金业务的认知；2、参与行业领先的数字化客户运营体系构建，积累相关工作经验；3、锻炼文案撰写能力、培养对客户的洞察能力；5、对毕业后有志于从事互联网金融工作的同学，积累求职的重要加分项。,本科,3人,2024-09-11 15:25,创金合信基金管理有限公司,深圳 - 南山区 - 前海华润大厦A座,金融,301~1000人
咨询实习生,150-180元/天,长期,工作职责：【岗位职责】1.研究性职责：收集咨询领域的政策、文献，梳理与咨询项目相关的资料与数据，分析内外部资料，形成咨询观点。2.沟通类职责：一是与委托方、被评价方等行政事业单位建立顺畅的沟通渠道，保持良好的沟通关系，精准了解各方需求、传递各方关切；二是以PPT展示、汇报咨询观点。3.文字类职责：客观阐述咨询项目情况，凝练各方意见和建议，形成文字性报告。4.数据类职责：对数据量较大的咨询项目，准确进行基本数据处理。岗位要求：【任职要求】1.优秀本科及以上学历，专业不限。2.认真负责、吃苦耐劳、积极进取，有责任心。3.良好的学习能力，可承受高强度且快速的工作节奏。4.具有大局观和荣誉感。【福利待遇】本科：150   研究生：180报名方式~简历以“姓名+学校+专业+学历+毕业时间+招聘信息获取渠道”命名，投递至xzcw@bjjzzx.com.cn,本科,3人,2024-09-30 10:20,菁正咨询,北京 - 西城区 - 北京市西城区西直门外大街18号金贸大厦C2座,咨询/法律/人力资源,11~50人
审计实习生,150-180元/天,3个月,工作职责：岗位职责：1.审查企业各项财务制度的落实情况，并拟订审计计划或方案。2.负责完成资产、负债、收入、成本、费用、利润等业务的审计工作，确保这些业务符合相关法规和内部规定。3.按照审计程序和审计方案，收集充分的审计证据，以支持审计发现和审计建议，并完成各项审计工作。4.审查财务收支项目、专项资金使用、费用开支与报销等工作，确保这些活动的合规性和真实性。5.审查发票、凭证、账册、报表等的真实性，以及它们的填制是否符合企业财务制度的要求。6.对审计证据进行检查和复核，并做出单项审计评价意见。7.编写内部审计报告，针对所有涉及的审计事项提出处理意见和建议。岗位要求：岗位要求1.优秀本科及以上学历，财务相关专业。2.认真负责、吃苦耐劳、积极进取，有责任心。3.良好的学习能力，可承受高强度且快速的工作节奏。4.具有大局观和荣誉感。,本科,5人,2024-09-30 10:20,菁正咨询,北京 - 西城区 - 金贸大厦C2座1608,咨询/法律/人力资源,11~50人
电商运营&运营助理,150-200元/天,3个月,工作职责：Biogeek百吉成立于2020年，是一家正在快速崛起的膳食补充剂品牌，我们坚持为客户提供“低价、优质、透明”的膳食补充剂产品，并始终秉持真诚透明、客户第一的经营理念，四年来饱受客户好评与信赖，在几乎无营销投入的前提下，旗下产品有70%+的领先于同行的老客回头率，单品销量长期占领国京东国际Top1~4。欢迎广大认同我们价值主张和理念的、对大消费领域或补剂赛道/电商运营岗/综合运营岗/经营分析岗位感兴趣的同学加入，公司正在逐渐成长壮大中，我们将面向表现优异且有意向的同学提供转正机会，期待未来与你长期共事、一起打江山！【岗位职责】1. 负责百吉在各大电商平台的日常运营，协助团队进行产品上架、页面优化、客户服务、及数据监控；2. 参与百吉的经营分析，包括销售与财务数据的收集与分析，撰写分析报告，为决策提供支持；3. 协助策划和执行百吉的营销活动，包括电商促销、粉丝运营、内容创作及社交媒体宣传；4. 支持日常内容运营，撰写产品介绍、推广文案及其他营销材料等；5. 协助跟踪活动效果，收集客户反馈，提出优化建议；岗位要求：1. 本科及以上学习，市场营销、电子商务、数据分析、营养学等相关专业优先，保研/大四/研究生在读；2. 具备良好的数据分析能力，excel中高水平的为佳；3. 对电商运营和市场营销有一定了解或学习兴趣；4. 具备良好的沟通能力和团队协作精神，学习和自我驱动能力强；5. 对健康产品或营养补充品有浓厚兴趣者为佳；你将获得：1. 与大厂与名校背景的资深同事交流协同，培养科学高效的职业习惯和工作方法论；2. 综合运营岗位实操经验沉淀，不用做螺丝钉；3. 极其扁平的办公氛围和友好nice的mentor与同事；4. 免费体验公司内部的膳食补充剂产品（护肝、护肺、护眼、NMN等）；,本科,1人,2024-09-30 15:06,百吉,北京 - 朝阳区 - 建外大街朝阳门北大街乙12号天辰大厦（朝阳门/东四十条地铁站）,快速消费品,10人以内
景观设计实习生,3-4K/月,3个月,工作职责：协助项目组日常设计工作岗位要求：1、2025及以后毕业的本、硕毕业生，景观建筑学、风景园林、景观设计学、园林、环境艺术设计等相关专业；2、熟练掌握CAD、PS、SU、ID、LUMION等相关专业软件，对专业基础知识掌握扎实，熟悉本专业基本规范，对专业知识有较强的钻研精神；3、概念清晰，创新意识强，出色的方案设计能力；4、具备良好的沟通能力、执行能力，有良好的团队合作精神和较强的服务意识；5、热爱设计，悟性高，学习能力强，努力上进，工作勤恳踏实；6、保证充足的全职实习期。你将获得：完整的实习体验；专业设计师带教；项目经验,本科,2人,2024-09-26 16:12,迈丘设计,深圳 - 南山区 - 万海大厦c座1201,建筑|地产|家居,101~300人
活动执行实习生,3-4K/月,6个月,工作职责：1. 负责项目的落地执行及联络工作；2. 协助项目经理完成项目的计划和执行；3. 根据项目工作排期，配合项目经理按时间节点完成项目计划， 控制时间节点；4. 根据项目计划，协助项目经理完成在活动实施前的各项具体准备工作；5. 负责项目执行过程中的多方协调与沟通；6. 负责项目活动所需的其他物料；岗位要求：1、2025应届本科（含）以上毕业生，学生干部、社团组织积极份子优先；2、英文、会务管理、广告、市场营销等专业优先；3、普通话标准，英语熟练；4、计算机操作熟练；5、性格开朗，有较强的创造能力，解决问题的能力，沟通能力和团结协作精神。,本科,5人,2024-09-14 11:06,TBA北京,北京 - 顺义区 - 顺兴路3号笔克创意中心,广告|传媒|文化|体育,101~300人
