工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模,年份,省份
测试实习生,175,长期,： 1 . 理解 客户 需求 、 分解 客户 需求 ； 2 . 根据 测试 需求 制定 测试计划 测试用例 ； 3 . 结合 测试用例 手工 测试 ； 4 . 独立 功能测试 、 集成 测试 、 回归 测试 并 编写 测试报告 。 ： 1 . 本科 及 以上学历 ， 计算机相关 专业 优先 ； 2 . 熟悉 测试 流程 ， 能 根据 项目 需求 编写 测试用例 ； 3 . 热爱 软件测试 及 技术支持 ， 具有 较强 服务 意识 ； 4 . 沟通 能力 强 ， 具有 吃苦耐劳 精神 。,本科,5,2024-08-19,嘉为科技,广州省天河区天河东路67号丰兴广场A座11楼,IT|通信|电子,301~1000人,2024,广州
小红书运营实习生,149,长期,： 需要 线下 上海 办公室 实习 哦 ~ 不 接受 线上 ~ ~ 1 、 通过 撰写 小红书 图文 视频 笔记 完成 小红书 商城 生意 增长 。 2 、 拓展 并 维护 达 人 笔记 合作 资源 ， 筛选 优质 达 人 ， 对达人 有效 管理 沟通 ， 根据 发布 节奏 安排 推广 ， 日常 跟踪 数据分析 ； 4 、 协助 完成 小红书 直播 策划 、 运营 。 5 、 完成 上级 安排 其他 。 ： 1 、 全日制 本科 在读 ， 汉语言 文学 、 新闻 、 市场营销 、 广告 专业 优先 ； 2 、 优秀 文字 创作 能力 ， 申请 职位 请 附送 作品集 ； 3 、 思维 活跃 ， 拥有 新 媒体 网感 ， 出色 沟通 组织协调 能力 ； 4 、 小红书 、 抖音 社交 平台 重度 用户 ， 新 媒体 运营 经验 优先 ； 小红书 自 媒体 账号 运营 经验 优先 5 、 一周 至少 保证 3 天 。,本科,1,2024-08-22,好哩！,上海省徐汇区明园商务中心B座,快速消费品,11~50人,2024,上海
采购实习生,149,6个月,： 需要 线下 到 上海 办公室 实习 哦 ~ ~ 1 . 协助 原辅料 采购 推进 采购 ， 独立 完成 采购 下单 ； 2 . 跟进 采购 产品 到货 入库 情况 ， 确认 到货 实数 ； 3 . 仓库 、 代工厂 对接 ， 负责 日常 产品 进销存 管理 ； 4 . 完成 采购 安排 其他 辅助性 ； 5 . 协助 采购 基础 ， 包括 行业 了解 ， 供应商 寻源 ， 比价 策略 制定 、 三方 比价 、 落地 执行 跟踪 ； 6 . 业务 数据报表 制作 ， 辅助 部门 做 数据分析 ； 7 . 供应商 合同 、 资质 管理 ； 8 . 负责 采购 订单 登记 、 维护 跟踪 ； 9 . 供应商 有关 交期 、 交量 方面 协调 沟通 ； 10 . 负责 采购 订单 付款 申请 登记 及 发票 回收 提交 ； 11 . 上司 安排 其他 任务 。 ： 1 . 耐心 细致 较 强 学习 能力 ， 组织协调 、 应变能力 ， 具有 较强 责任心 事业心 2 . 良好 学习 意识 ， 能 承受 一定 压力 3 . 数据分析 逻辑 判断能力 ， 能 熟练 使用 办公 软件,本科,1,2024-08-22,好哩！,上海省徐汇区明园商务中心B座,快速消费品,11~50人,2024,上海
人事行政实习生,175,6个月,： 1 、 负责 实习 及 正式 招聘 、 面试 、 入职 、 离职 手续 办理 ； 2 、 协助 完成 人力资源 日常 基础 ； 3 、 负责 人事档案 汇总 整理 、 花名册 更新 ； 4 、 协助 内部 活动 组织 实施 ； 5 、 协助 完成 各项 行政 日常 事务性 （ 包含 但 不 限于 办公用品 采买 、 固定资产 管理 、 办公室 日常 维护 ） ； 6 、 领导 安排 其他 。 ： 1 、 统招 本科 大三 以上 在读 ； 相关 经验 者 优先 2 、 较 强 逻辑思维 、 沟通 协调 、 抗压 应变能力 ； 3 、 事业心 强 、 善于 学习 、 踏实 肯干 、 细致 认真 、 耐心 ； 4 、 熟练掌握 office 办公 软件 ;   5 、 每周 可 全职 实习 4 - 5 天 ， 至少 实习 3 个 月 以上 ， 能 长期 实习 者 优先 。 ： 1 1 指导 ， 人事 全 模块 实习 经历,本科,1,2024-08-15,挑战者创投,北京省朝阳区霄云路38号现代汽车大厦,金融,11~50人,2024,北京
营销实习生,333,6个月,： 1 、 培养 未来 门店 管理者 而 设立 ， 1 - 2 年 培养 成为 门店 店长 ， 并 机会 发展 更高 ； 2 、 认可 公司 使命 价值观 ， 企业 文化 ， 学习 并 熟悉 公司 流程 制度 ； 3 、 自主 学习 高端 商品 / 新品 知识 ， 提升 自我 专业 度 ； 4 、 灵活运用 专业 商品 知识 、 顾客 服务 技巧 、 陈列 、 价值 营销 提升 门店 销售 ； 5 、 做好 门店 标准化 动作 （ 商品 上下 架 、 陈列 、 卫生 ） ， 给 顾客 营造 好 购物 环境 ； 6 、 协助 主管 / 店长 推动 门店 重点项目 提升 （ 演示 、 小课 唐 、 生活 提案 、 内部 培训 ） 。 ： 1 、 2025 届 应届生 ， 本科学历 及 以上 ， 专业 不 限 ； 2 、 电子产品 / 家用电器 浓厚 兴趣 ， 并 致力于 零售 行业 长期 发展 ； 3 、 目标 导向 ， 喜欢 挑战 ， 压力 下能 坚持不懈 ； 4 、 学生会 、 社联 会 、 班干 或 社会 实践 经历 者 优先   。 ： 管理 线 发展 ： 营销 实习生 - 营业员 - 营销 主管 - 店长 专业 线 发展 ： 营销 实习生 - 营业员 - 中级 营业员 - 资深 营业员,本科,10,2024-08-15,顺电连锁,深圳省罗湖区宝安南路华润万象城4楼深圳宝安区新湖路99号壹方城L3—033—D—E深圳南山区北环大道与沙河东路交界处欧洲城迪卡侬二楼,交通|物流|贸易,1001~3000人,2024,深圳
教研助理,135,4个月,： 1 、 参与 新课程 规划 ， 及时 更新 课程内容 ， 保证 课程 研发 水准 ； 2 、 协助 组织 科研课题 立项 、 申报 ； 3 .   参与 各校 教研 科研工作 规划 、 指导 跟进 ； 4 、 协助 教学 线 师资 培训 ； 5 、 负责 培训 相关 资料 、 课程 介绍 文档 整理 编辑 ； 6 、 总结 推广 教学 经验 ， 探索 教学 规律 ， 并 以 有效 方式 推广 教学 经验 ； 7 、 搜集 教育 相关 政策 、 市场动态 行业动态 。 ： ： 1 、 仅 考虑 2025 届 学生 ， 须 线下 实习 ， 请 仔细阅读 ， 谨慎 投递 ； 2 、 全日制 本科学历 ， 师范 、 教育 类 专业 ， 热爱 教育 事业 ， 成功 科研课题 经验 者 优先 ；   3 、 具有 高校 大创 、 挑战杯 、 互联网 + 、 创新 创业 社团 双创 项目 、 赛事 经历 ； 4 、 了解 高等教育 行业动态 及 市场需求 ， 具有 一定 前瞻 思考 规划 能力 。,本科,2,2024-09-06,海星纪元,上海省闵行区剑川路955号零号湾康博科创大厦2楼,教育培训,11~50人,2024,上海
助教,100,4个月,： 1 、 协助 组织 实施 双创 课程 、 创业 训练营 专题 培训 ； 2 、 策划 组织 创业 沙龙 、 创业 访谈 、 创业 辅导 活动 ； 3 、 协助 讲师 开展 教学 培训 ， 学员 、 项目 跟踪 咨询 辅导 ； 4 、 协助 课程 开发 、 教育 政策 研究 研究课题 开展 ； 5 、 完成 上级领导 其他 。 ： 1 、 本 职位 须 线下 到 岗 实习 ， 实习期 4 - 6 个 月 ； 2 、 本科 及 以上学历 ， 教育 、 食品 、 化学 、 农林 、 医学 、 健康 或 电子信息 相关 专业 ， 教育 培训 行业 经验 优先 考虑 ； 3 、 具有 高校 大创 、 挑战杯 、 互联网 + 、 创新 创业 社团 双创 项目 、 赛事 经历 ， 省赛 立项 或者 获奖者 优先 考虑 ； 4 、 具有 独立 线 上线 下 活动 策划 执行 成功 案例 ； 5 、 善于 主动 学习 总结 ， 愿 公司 长期 共同 成长 。,本科,2,2024-09-06,海星纪元,上海省闵行区康博科创大厦剑川路955号2楼,教育培训,11~50人,2024,上海
人力资源实习生-招聘方向,160,3个月,： 1 .   负责 完成 公司 招聘 目标 ， 快速 满足 各 部门 招聘 需求 ； 2 .   每天 开拓 维护 各类 招聘 渠道 ， 策划 招聘 文案 ， 运营 招聘 维护 公众 号 ； 3 .   候选人 电话 联系 交流 ， 筛选 简历 及 邀约 面试 。 ： 1 .   年满 18 周岁 ， 全日制 本科 及 以上学历 ， 每周 至少 3 天 出勤 ， 实习 3 个 月 ； 2 .   善于 信息 收集 ， 分析 处理 ， 熟练 使用 计算机 办公 软件 ； 3 .   较强 沟通 表达能力 ， 突出 坚韧性 ， 责任心 团队 合作 精神 ； 4 .   曾经 猎头公司 经验 优先 。 ： - 资源 丰富 学习 环境 - 广阔 职业 发展 平台 - 自由 平等 环境 - 实习 3 个 月 ， 提供 实习 证明,本科,2,2024-08-19,中智职业发展有限公司,北京省朝阳区光华路7号汉威大厦西区7B3,咨询/法律/人力资源,301~1000人,2024,北京
PR实习生,115,长期,： 1 .   协助 撰写 新闻稿 2 .   行业 research3 .   协助 媒体 及 KOL 沟通 4 .   活动 现场 onsite support5 .   完成 clipping report6 .   日常 中 英 翻译 及其 他 常规 PR 我们 需要 ： ： 1 .   一定 文案 制作 能力 2 .   善于 沟通 、 能 social ， 乐于 接触 新鲜 事物 & 各种 挑战 3 .   熟练 使用 办公 软件 ， 只要 颗 往 PR 发展 心 ， 有无 经验 均 可 ， 经验 者 更佳 。 ： 1 .   公司 定期 会 各种 training sharing ， 学习 机会 诸多 2 .   每日 水果 饮料 各种 零食 公司 party3 .   不 定时 品牌 福利 、 活动 onsite 近距离 接触 明星 & KOL 超级 Nice 团队 氛围 ， 就 来 啦 ！,本科,13,2024-08-30,pH7,上海省长宁区长宁区安顺路88号宝地新华A栋8楼,广告|传媒|文化|体育,51~100人,2024,上海
互联网运营实习,110,1个月,： 1 、 加粉 ： 增加 公司 分配 给 微 信号 粉丝 人数 ， 公司 领养 原创 投稿 栏目 、 销售 做 粉丝 基础 积累 铺垫 2 、 运营 ： 负责 宠物 相关 互联网 平台 文案 创作 运维 ， 比如 微信 公众 平台 、 今日 头条 、 新浪 微博 ， 抖音 平台 实操 ， 可 天天 可爱 萌宠 接触 ， 了解 当下 热点 行业资讯 3 、 营销 ： 配合 团队 做 营销 ， 帮助 公司 增加 整体 销售额 ， 增加利润 4 、 策划 ： 团队 发展 出谋划策 ， 调动 各个 团队 实现 粉丝 增长 或者 销售额 提升 ： 1 、 仅 接受 在校 大 一大 二 本科 大学生 研一 学生 报名 2 、 互联网 或者 宠物 行业 感兴趣 ， 充足 课余时间 ， 每天 至少 3 个 小时 以上 ， 预计 一年 以上 3 、 人 踏实 认真 ， 一定 抗压 能力 ， 面对 多项 任务 能 合理 分配 时间 ， 具有 创新能力 ， 能为 团队 出谋划策 ， 不甘 平庸 4 、 接触 过 平台 运营 或者 文案 创作 功底 、 会 图片 视频剪辑 （ ae \ pr \ ps ） 技能 同学 最好 ， 没有 经验 肯 学习 耐心 也 欢迎 ： 1 、 免费 培训 ， 不 收取 任何 费用 2 、 晋升 机会 大 ， 表现 优异者 可带 团队 ， 成为 teamleader3 、 满 一年 给 开 实习 证明 ， 不再 担心 实习 没 地方 去 4 、 结实 各地 优秀 大学生 人才 ， 积累 优秀 人脉 资源 5 、 充分 接触 互联网 行业 ，,本科,15,2024-09-16,毛小汪,省,互联网|游戏|软件,51~100人,2024,
短视频运营实习生,100,3个月,： 岗位职责 ： 1 、 负责 短 视频 平台 上 内容 策划 、 运营 ， 提升 账号 播放 量 粉丝 量 ； 2 、 完成 短 视频 平台 内容 创意 策划 （ 选题 、 制作 、 策划 ， 流量 维护 ） 及 制作 ； 3 、 跟踪 分析 短 视频 平台 热点 视频 ， 及时 捕捉 亮点 ， 根据 公司 产品 特性 做 参考 创新 ； ： 能力 ； 1 . 懂 基础 剪辑 技能 2 . 独立 编撰 短 视频 脚本 能力 ， 或 团队 配合 性好 ， 能 共同 确保 内容 传播 性 3 . 熟悉 网络 环境 ， 关心 当下 热点 4 . 爱好 多元 审美 ， 沟通 能力 5 . 美术 、 设计 、 传媒 、 广告 专业 优先 6 . 小红书 、 视频 号 、 B 站 、 抖音 ， 有过 自 媒体 尝试 者 优先,本科,1,2024-09-03,TOPYS,深圳省南山区华侨城创意园,广告|传媒|文化|体育,11~50人,2024,深圳
深圳广州招长期【周末兼职】,250,长期,： 兼职 内容 ： 1 、 到 指定 小区 媒体 上刊 画面 拍照 （ 提供 进门 工作证 ） ； 2 、 每次 预计 5 小时 ， 每次 200 - 300 元 ； 3 、 可 长期 兼职 ， 每月 3 - 4 次 ； 4 、 提供 培训 （ 培训 按照 正常 计 工资 ） 有意者 可 直接 联系 ： 张 小姐   13823690321 ： 自备 手机 拍照 即可,不限,5,2024-08-28,亿投广告,广州省天河区黄埔大道西76号深圳福田区梅林路卓越城二期B座,广告|传媒|文化|体育,101~300人,2024,广州
海外舆情采编助理,65,3个月,： 1 . 协助 舆情 专员 海外 舆情 信息 监测 、 采集 编辑 ； 2 . 完成 公司 及 部门 领导 交办 相关 。 ： 1 、 大学本科 及 以上学历 ， 新闻 类 相关 专业 ；     2 、 英语六级 及 以上 ， 具备 良好 新闻 敏感性 政治 素养 ；   3 、 一定 计算机 基础 ， 熟练 使用 办公 软件 ；   4 、 较 强 文字 驾驭能力 ， 良好 新闻 策划 能力 ；     5 、 能够 保证 每周 5 天 ， 持续 3 个 月 以上 实习期 。 ： 实习 证明,本科,2,2024-08-15,环球网,西安省雁塔区西安市南二环88号老三届世纪星大厦老三届世纪星大厦27层AB座职能类别：网站编辑,广告|传媒|文化|体育,301~1000人,2024,西安
美的国际-营运管理实习生,175,3个月,： 一 、 日常 行政 - 占 比 60% 1 . 办公室 消耗品 定期 采购 及 下午茶 采购 ； 2 . 电脑 IT 资产 、 工位 、 会议室 、 仓库 管理 ； 3 . 发起 办公室 行政 费用 付款 流程 ； 4 . 行政 通知 上传下达 ； 5 . 协助 收集 整理 跨部门 信息 或 材料 ； 二 、 营运 管理工作 - 占 比 40% 1 . 协助 处理 合同 盖章 、 归档 、 邮寄 ； 2 . 协助 申请 盖章 、 限制 软件 内部 流程 ； 3 . 协助 策划 组织 节日 文化 活动 、 制作 活动 海报 ； 4 . 协助 处理 员工 诉求 ， 对外 沟通 ； ： 1 .   经验 背景 ： 在校学生 ， 学校 活动 或 社会 实践经验 者 优先 ； 2 .   技能 能力 ： 熟悉 Excel 、 Word ； 3 .   学历 语言 ： 本科 或 研究生 ， 英语 四级 ， 英语 能 作为 语言 优先 ； 4 .   个人 特质 ： 吃苦耐劳 ， 活泼 外向 ， 善于 沟通 ， 认真负责 ； 5 .   可于 8 月 20 日前 到 岗 。 ： 1 、 世界 五百强 集团 实习 经验 及 实习 证明 ； 2 、 来自 不同 国家 地区 同事 接触 ， 提升 外语 沟通 能力 。 3 、 不定期 下午茶 ， 另有 餐补 、 房补 。,本科,1,2024-08-14,美的集团,佛山省顺德区美的08空间,汽车|机械|制造,3001人及以上,2024,佛山
人力资源管理实习生,175,3个月,： 1 .   协助 完成 培训 及 人才 发展 落地 ， 如 培训 项目 物料 准备 、 活动 安排 相关 图文 制作 ； 2 .   协助 完成 人力资源 招聘 ， 如 简历 筛选 ， 面试 邀约 ； 3 .   协助 组织 各种 员工 关怀 活动 企业 文化 建设 ； 4 .   其他 部门 行政 事宜 。 ： 1 .   实习 期间 保持 在读 生 身份 ， 专业 不 限 ； 2 .   能 实习 3 个 月 ； 3 .   做事 耐心 、 细心 ， 态度 认真 严谨 ， 待人 真诚 热情 ； 4 .   能 独立 使用 英语 作为 语言 ； 5 .   最晚 8 月 20 日到 岗 ， 不 符合 者 勿 投递 ！ ！ ！ ： 1 、 世界 五百强 集团 人力资源部 实习 经验 及 实习 证明 ； 2 、 全方位 了解 人力资源 六大 模块 及 营运 机会 ； 3 、 来自 不同 国家 地区 同事 接触 ， 提升 外语 沟通 能力 。 4 、 薪资 福利 ： 本科生 3000 元 / 月 、 研究生 3500 / 月 ， 另 提供 住宿 餐饮 补贴 、 节日 福利 定期 下午茶 。,本科,1,2024-08-14,美的集团,佛山省顺德区美的08空间,汽车|机械|制造,3001人及以上,2024,佛山
顾问助理,149,3个月,： 【 了解 恒上 】 恒上 咨询 一家 稳健 成长 管理 咨询 公司 ， 致力于 高新科技 （ AI 、 云 计算 、 5G ） 、 金融 、 教育 科技 、 文旅 行业 中 知名企业 ， 提供 高端 人力资源 解决方案 ， 细分 赛道 持续 深耕 ， 客户 输出 可信 行业 市场 认知 可用 之才 ； 我们 服务 包括 但 不 限于 ： 招聘 策略 制定 、 高端 及 高潜 人才 甄聘 ； 客户 包括 ： 亚信 系 企业 ， 金山 ， 东软 ， PingCAP ， 天润 融通 、 智齿 科技 ， 宽带 资本 ， 新东方 文旅 集团 。 【 】 1 .   协助 顾问 调研 相关 行业 、 市场 客户 信息 ， 项目 需求 分析 ； 2 .   招聘 渠道 职位 发布 以及 人才 搜寻 ； 3 .   据 客户 需求 ， 通过 合适 渠道 寻找 目标 候选人 并 沟通 ； 4 .   完成 侯选人 信息 收集 、 分类 及 整理 ， 候选人 初步 甄选 ； 5 .   完成 候选人 初步 评估 ， 并 生成 可 推荐 候选人 报告 ； 6 .   公司 、 客户 及 候选人 间 沟通 协调 ， 保证 面试 正常 ； 7 .   协助 主管 完成 候选人 背景 调查 ； 8 .   建立 并 完善 客户 项目 档案 。 ： 【 任职 】 1 .   本科 及 以上学历 ， 一本 及 以上 院校 理工 、 财经 专业 优先 ； 接受 应届生 ； 2 .   较 强 语言表达 能力 人际交往 能力 ； 3 .   自驱 、 学习 能力 强 ， 具备 团队 合作 精神 ； 4 .   可 积极 面对 压力 挑战 ； 5 .   熟练 使用 各类 办公 软件 ； 6 .   兴趣 人力资源 或 咨询 行业 ， 中 、 长期 发展 ； ： 【 为什么 选择 我们 ？ 】 1 .   我们 会为 员工 提供 相应 培训 支持 ； 相比 大 平台 而言 ， 我们 能 给 占 比 更 多 公司 资源 ， 提供 个性化 成长 环境 ； 2 .   收获 360 ° 高职 招聘 全 流程 经验 ， 提升 数字化 能力 、 时间 管理 、 结果 导向 意识 软性 技能 ； 3 .   理解 、 洞察 多个 符合国家 支持 倡导 行业 赛道 ， 获取 真实 、 价值 状势 认知 ； 4 .   积极 、 共赢 、 利他 共事 团队 ； 5 .   转正 及 内 推 优秀 企业 机会 。 6 .   时间 ： 9 ： 30 - 18 ： 30,本科,1,2024-09-06,恒上咨询,北京省通州区万达广场,咨询/法律/人力资源,11~50人,2024,北京
韩语社媒运营实习生,125,长期,： 1 . 负责 海外 韩文 社媒 平台 账号 运营 ， 内容 制作 分发 ， 例如 Ins 、 Tiktok 、 Naver 社媒 平台 2 . 协助 站 内 营销 活动 策划 ， 协助 建联 沟通 海外 社媒 KOL 或 KOC ， 品牌 或 公司 产品 服务 达 人 推广 。 3 . 协助 相关 项目 韩文 翻译 （ 例如 平台 信息 、 韩语 自驾 攻略 ） ： 1 . 韩语 水平 等级 topik6 及 以上 水平 优先 考虑 ， 韩语 读写能力 优秀 ； 2 . 韩国 文化 一定 了解 ， 扎实 文字 能力 ； 3 . 网感 ， 5G 冲浪 选手 脑洞 小 能手 ； 基本 了解 ins 、 tiktok 平台 ， 成功 运营 账号 经验 者 优先 ； 4 . 具备 一定 视频剪辑 、 图片 编辑 能力 ， 审美 在线 ， 能 熟练 使用 剪映 / Pr / Ps 软件 者 优先 ； 5 . 热爱 旅游 行业 ， 旅游 行业 一定 了解 ， 海外 旅游 / / 留学 经验 优先 。 6 . 一周 到 岗 4 天及 以上 ；,本科,1,2024-09-05,租租车,广州省海珠区万胜围a出口万胜汇,互联网|游戏|软件,600多人,2024,广州
人事实习生,125,3个月,： 1 .   结合 公司 战略 发展 需求 ， 制定 人力资源 发展 规划 ， 合理 调配 公司 人力资源 ； 2 .   深入 了解 各 部门 用人 需求 制定 招聘 计划 ， 负责 招聘 执行 、 管理 及 效果 跟踪 、 反馈 ； 3 .   了解 内部 培训 需求 ， 根据 各 部门 需求 制定 不同 时期 培训 计划 ， 并 协调 各 部门 确保 培训 顺利 展开 ； 4 .   负责 绩效 执行 管理 ， 包括 协助 部门 制定 绩效考核 方案 ， 实施 执行 落地 ， 绩效 数据 汇总 分析 ； 5 .   负责 员工 薪酬 福利 制定 ， 完成 员工 每月 薪酬 核算 ； 6 .   负责 企业 文化 建设 ， 包括 传递 公司 企业 文化 价值观 、 开展 企业 文化 活动 ； 7 . ： 1 .   大专 及 以上学历 ， 1 年 以上 人力资源 相关 经验 ； 2 .   熟悉 人力资源 六大 模块 ， 精通 招聘 配置 、 绩效 管理 、 薪酬 福利 管理 、 人力资源 规划 中 2 个 模块 ， 熟悉 国家 地方 相关 政策 法律法规 ； 3 .   具备 良好 计划性 执行 能力 、 良好 人际交往 能力 、 组织协调 能力 、 沟通 能力 以及 解决 复杂 问题 能力 ； 4 .   一定 抗压性 ， 能 适应 快节奏 环境 ； 5 .   互联网 或者 文化传媒 公司 做过 优先 。,大专,2,2024-08-24,润普网络,广州省天河区广州市天河区建中路36号露乐国际大厦402室,互联网|游戏|软件,101~300人,2024,广州
新媒体运营实习生,200,2个月,： - 负责 各 社交 平台 账号 ： 双微 、 豆瓣 、 小红书 内容 更新 日常 维护 ； - 通过 优质 内容 输出 ， 吸引 粉丝 关注 ， 提升 品牌 影响力 ， 建立 有效 运营 手段 提升 用户 关注度 ； - 根据 运营 方向 策划 并 执行 线上 活动 ， 增加 用户 关注 量 ， 提升 平台 活跃度 。 ： - 熟悉 新 媒体 传播 规律 ， 及时 掌握 新闻热点 ， 能够 完成 专题 策划 、 编辑 制作 。 - 具有 较强 文案 及 策划 功底 ； - 热衷 并 擅长 微博 ， 微信 ， 豆瓣 社交 媒体 日常 运营 ； - 市场 、 传媒 相关 专业 ， 相关 实习 经历 者 优先 。,本科,1,2024-09-02,TOPYS,深圳省南山区华侨城创意园,广告|传媒|文化|体育,11~50人,2024,深圳
新媒体运营实习生,135,3个月,： 【 内容 】 -   日常 小红书 ， 微博 ， 公众 号 运营 ， 原创 剪辑 作品 ， 创建 或 发布 相关 官方 活动 ， 提出 优化 建议 ； -   捕捉 热点 ， 制作 相关 歌单 ， 撰写 相关 文案 。 ： 【 任职 】 -   运营 过小红 书 帐号 ， 公众 号 经验 ； -   熟悉 内娱 ， 韩团 ， 追星 经验 ； -   熟练掌握 Word ， Excel ， 剪映 办公 软件 ； -   网感 好 ， 会 抓 热点 ； -   一定 文案 功底 ； -   需要 细心 ， 认真负责 ； -   抗压 能力 强 。 【 实习 时间 】 -   至少 3 个 月 以上 【 实习 地点 】 北京市 东城区 泓 晟 国际 中心,本科,1,2024-08-28,腾讯音乐,北京省东城区泓晟国际中心,互联网|游戏|软件,1001~3000人,2024,北京
会展兼职,250,1个月,： 展会 邀请 客户 扫码 加微信 ： 需要 7 名 兼职 人员 ， 现场 主动 跟 客户 简单 介绍 公司 ， 时间 9.4 - 5 日 ， ： 我们 会 做 一次 简单 的话 术 培训 ， ： 形象 气质佳 ， 干净 ， 一定 兼职 销售 经验 ， 外 联社 优选 。 表达清晰 ， 外向 ， 思路 敏捷 ， 酒店 管理 ， 酒店 服务 ， 旅游 管理 ， 导游 专业 ， 优选 ， 辩论赛 经验 ，,不限,7,2024-08-28,乐满意,上海省普陀区光复西路2739号跨采中心,生活服务,51~100人,2024,上海
网络编辑实习生+线上工作,90,长期,： 描述 ： 作为 线上 编辑 实习生 ， 您 机会 参与 并 学习 在线 出版 编辑 全过程 。 您 我们 编辑 团队 紧密 合作 ， 负责 编辑 校对 各类 在线 内容 ， 确保 其 准确 、 清晰 并 符合 公司 风格 。 此外 ， 您 还 机会 参与 内容 策划 、 市场调研 以及 其他 编辑 相关 活动 。 岗位职责 ： 1 .   编辑 校对 在线 内容 ， 包括 文章 、 博客 、 新闻稿 ， 确保 其 语法 正确 、 信息 准确 且 风格 一致 。 2 .   对于 提交 稿件 审核 ， 包括 结构 内容 优化 。 3 .   参与 内容 策划 市场调研 ， 提供 内容 发展趋势 见解 建议 。 4 .   编辑 团队 紧密 合作 ， 确保 按时 完成 任务 。 5 .   其他 编辑 相关 支持 。 ： 职位 ： 1 .   在校生 / 应届 毕业生 ， 新闻 、 中文 、 传媒 、 编辑出版 相关 专业 优先 考虑 。 2 .   热爱 文字编辑 写作 ， 一定 写作能力 审美 能力 。 3 .   能够 独立思考 解决问题 ， 具备 良好 沟通 团队 合作 能力 。 4 .   具备 一定 新闻 时事 敏感度 ， 当前 热门话题 互联网 趋势 一定 了解 。 5 .   相关 实习 或 经验 者 优先 考虑 ， 尤其 在线 出版 或 编辑 相关 经验 。 6 .   具备 良好 时间 管理 能力 抗压 能力 ， 能够 按时 高质量 完成 任务 。 7 . 能够 熟练 使用 office 办公 软件 相关 编辑 工具 。 地点 ： 线上 / 远程 本 实习 ， 最短 实习 周期 ， 一个月 ； 请 投递 者 保证 自己 一周 里 ， 3 天 以上 可以 参与 实习 。,大专,10,2024-08-28,孙小圣会计师事务所,省,咨询/法律/人力资源,51~100人,2024,
内容运营实习生,100,3个月,： 1 、 推荐 流 运营 ： 筛选 站 内 优质 内容 ， 并 推荐 ， 提升 用户 内容 消费 。 2 、 官方 账号 运营 ： 筛选 站 内 优质 内容 用户 ， 并 分发 推荐 。 3 、 热点话题 策划 ： 策划 站 内 热点话题 ， 促进 用户 UGC 产出 内容 消费 。 4 、 活动 运营 ： 参与 节点 活动 策划 ， 参与 相关 文案 输出 活动 执行 。 ： 1 、 态度端正 ， 认真 细心 ， 文案 小 能手 。 2 、 统招 本科 在校生 ， 热爱生活 ， 5G 冲浪 ， 社区 重度 用户 。 3 、 地点 中关村 附近 ， 需 坐班 ， 可 实习 3 - 6 个 月 ， 一周 5 天 （ 接受 偶尔 请假 ） ， 面试 通过 后 1 周内 到 岗 最佳 ， 不能 快速 入职 勿 投 ， 当前 不 北京 勿 投 （ 认真 脸 ） ： 1 、 内容 运营 相关 实战经验 2 、 一份 还 可以 实习 工资 3 、 团队 成员 年轻 ， 氛围 好 ， 办公 环境 棒 ， leader   nice ； 4 、 实习生 众多 ， 颜值 高 小姐姐 小 哥哥 很多 ， 说不定 能 顺便 解决 单身 问题 哦 ； 5 、 偶有 明星 出没 ， 说不定 可以 带薪 追 追星 ~,本科,3,2024-08-12,搜狐,北京省海淀区科学院南路2号院3号楼搜狐媒体大厦,互联网|游戏|软件,3001人及以上,2024,北京
编导实习生,90,3个月,： ： 1 、 配合 编导 完成 本档 栏目 选题 ， 搜集 并 筛选 优质 企业 题材 ， 高效 沟通 采访 ； 2 、 充分 解读 栏目 宗旨 ， 了解 客户 基本 情况 ， 客户 制定 合理 品牌 助力 方案 ； 3 、 客户 相关 负责人 有效 沟通 ， 制定 拍摄 方案 及 相关 流程 ； 4 、 辅助 导演组 完成 外出 拍摄 ， 针对 不同 行业 编写 采访 提纲 。 ： ： 1 、 大二 、 大三 在校学生 ， 传媒 或 新闻 相关 专业 ， 媒体 行业 兴趣 ， 具备 相应 媒体 人 素养 ； 2 、 良好 语言表达 及 沟通 能力 ， 具有 较强 人际交往 技巧 ； 3 、 适应能力 强 ， 可 快速 适应 由 学生 到 职场 人 强度 ； 4 、 责任心 ， 能 承受 较大 压力 。,本科,2,2024-08-12,SiTV,上海省静安区洛川东路487号,广告|传媒|文化|体育,301~1000人,2024,上海
总编室实习生,90,3个月,： ： 1 、 较 强 文字处理 水平 ， 能够 撰写 各类 文案 ； 2 、 相关 负责人 有效 沟通 ， 确保 对外 社交 媒体 账号 管理 有序 。 ： ： 1 、 大二 、 大三 在校学生 ， 中文 、 新闻 或 媒体 管理 相关 专业 ， 媒体 行业 兴趣 ， 具备 相应 管理 技能 ； 2 、 一定 文字 基础 ， 人 真诚 ， 善于 沟通 ， 性格 和顺 ， 服从安排 ， 合适 办公室 ， 熟悉 办公室 软件 操作 ， 善于 团队 合作 ； 3 、 适应能力 强 ， 责任心 。,本科,2,2024-08-12,SiTV,上海省静安区洛川东路487上海文广互动电视有限公司,广告|传媒|文化|体育,301~1000人,2024,上海
